class,rank,feature,weight
RCE,22,enforcement conf,0.2709537682992696
RCE,23,enforcement,0.2709537682992696
RCE,24,pci 12,0.2699063311650985
RCE,25,policy,0.2699063311650985
RCE,26,rid 920450,0.2699063311650985
RCE,27,attack protocol,0.26160818871499325
RCE,28,php,0.23846365390522212
RCE,29,12,0.22212188239814865
RCE,30,xmlrpc php,0.21482750643961404
SCAN,1,913100,0.8409331236617844
SCAN,2,scanner,0.8409331236617844
SCAN,3,zgrab,0.7357515467052925
SCAN,4,agent,0.5775606185713982
SCAN,5,user agent,0.5775606185713982
SCAN,6,rid 913100,0.5606220824411896
SCAN,7,tag,0.5542952912583581
SCAN,8,user,0.5452667492363487
SCAN,9,913100 rid,0.40806386072797496
SCAN,10,request_headers user,0.3679235254677395
SCAN,11,pci 10,0.3667743488741948
SCAN,12,920350,0.34367988392526877
SCAN,13,request_headers,0.32650213778308795
SCAN,14,10,0.32388075686119233
SCAN,15,multi,0.3156013320412078
SCAN,16,wasc 21,0.31391911739532175
SCAN,17,21 tag,0.31391911739532175
SCAN,18,nmap,0.29874498925926307
SCAN,19,21,0.2956815908544085
SCAN,20,a7,0.2818622377220774
SCAN,21,a7 tag,0.2818622377220774
SCAN,22,owasp_top_10 a7,0.2818622377220774
SCAN,23,found user,0.2803110412205948
SCAN,24,detection conf,0.2803110412205948
SCAN,25,with security,0.2803110412205948
SCAN,26,detection,0.2803110412205948
SCAN,27,security_scanner tag,0.2803110412205948
SCAN,28,reputation,0.2803110412205948
SCAN,29,msg found,0.2803110412205948
SCAN,30,agent associated,0.2803110412205948
SQLI,1,sqli,0.9521200794092879
SQLI,2,942100,0.8409458312207394
SQLI,3,attack sqli,0.6627158017612829
SQLI,4,libinjection,0.5741966625339882
SQLI,5,rid 942100,0.5538474999537452
SQLI,6,19,0.39482124824895487
SQLI,7,942100 rid,0.3472520179570179
SQLI,8,union,0.34552906996560717
SQLI,9,942,0.34418123832291836
SQLI,10,request 942,0.34418123832291836
SQLI,11,sqli conf,0.34418123832291836
SQLI,12,942 application,0.34418123832291836
SQLI,13,select,0.3402068635316017
SQLI,14,sql_injection,0.326012284499477
SQLI,15,web_attack sql_injection,0.326012284499477
SQLI,16,sqli tag,0.326012284499477
SQLI,17,detected,0.32497916605345006
SQLI,18,sql injection,0.3157532330082029
SQLI,19,wasc 19,0.31004129106304984
SQLI,20,owasp_appsensor cie1,0.31004129106304984
SQLI,21,cie1,0.31004129106304984
SQLI,22,19 tag,0.31004129106304984
SQLI,23,cie1 tag,0.31004129106304984
SQLI,24,sql_injection tag,0.31004129106304984
SQLI,25,injection,0.30469278981218095
SQLI,26,using,0.3034609334994264
SQLI,27,a1 tag,0.301137364063071
SQLI,28,a1,0.301137364063071
SQLI,29,owasp_top_10 a1,0.301137364063071
SQLI,30,sql,0.29525762923798066
TRAVERSAL,1,930130,1.0000864233959357
TRAVERSAL,2,env,0.9576594203704923
TRAVERSAL,3,request_filename,0.6667242822639573
TRAVERSAL,4,rid 930130,0.6667242822639573
TRAVERSAL,5,lfi,0.6667242822639573
TRAVERSAL,6,attack lfi,0.6667242822639573
TRAVERSAL,7,attempt,0.4369681847925239
TRAVERSAL,8,yml,0.3735357422920638
TRAVERSAL,9,request_filename file,0.33336214113197865
TRAVERSAL,10,request 930,0.33336214113197865
TRAVERSAL,11,file access,0.33336214113197865
TRAVERSAL,12,930,0.33336214113197865
TRAVERSAL,13,930130 rid,0.33336214113197865
TRAVERSAL,14,a4 tag,0.33336214113197865
TRAVERSAL,15,access attempt,0.33336214113197865
TRAVERSAL,16,owasp_top_10 a4,0.33336214113197865
TRAVERSAL,17,at request_filename,0.33336214113197865
TRAVERSAL,18,msg restricted,0.33336214113197865
TRAVERSAL,19,a4,0.33336214113197865
TRAVERSAL,20,attempt data,0.33336214113197865
TRAVERSAL,21,id 930130,0.33336214113197865
TRAVERSAL,22,wasc 33,0.33336214113197865
TRAVERSAL,23,line 125,0.33336214113197865
TRAVERSAL,24,930 application,0.33336214113197865
TRAVERSAL,25,930130 msg,0.33336214113197865
TRAVERSAL,26,lfi tag,0.33336214113197865
TRAVERSAL,27,lfi conf,0.33336214113197865
TRAVERSAL,28,within request_filename,0.33336214113197865
TRAVERSAL,29,web_attack file_injection,0.33336214113197865
TRAVERSAL,30,33 tag,0.33336214113197865
XSS,1,xss,0.9991974092175925
XSS,2,x0d,0.5742340262071385
XSS,3,attack xss,0.5628789672844488
XSS,4,x0d x0a,0.5256405993423361
XSS,5,x0a,0.5256405993423361
XSS,6,xss tag,0.5252053297885294
XSS,7,script,0.4747226629757932
XSS,8,args,0.4411709784924928
XSS,9,x22,0.43059248765619523
XSS,10,941180,0.4029456361548724
XSS,11,wp,0.3462699001546587
XSS,12,comment,0.3240053320657772
XSS,13,args comment,0.3240053320657772
XSS,14,vector,0.30933919504700735
XSS,15,image,0.3017396689034827
XSS,16,https,0.28659471343228693
XSS,17,941110,0.2848335977854759
XSS,18,941,0.2814394836422244
XSS,19,request 941,0.2814394836422244
XSS,20,941 application,0.2814394836422244
XSS,21,xss conf,0.2814394836422244
XSS,22,rid 941180,0.2686304241032483
XSS,23,at args,0.26530901367506426
XSS,24,web_attack xss,0.255605797633742
XSS,25,post,0.24810212883977892
XSS,26,x3b,0.24245183889051444
XSS,27,tag capec,0.2391128193529786
XSS,28,capec,0.2391128193529786
XSS,29,owasp_appsensor ie1,0.21019168145024278
XSS,30,ie1 tag,0.21019168145024278
